title,company,expirence,salary,location,skill,date
Specialist - Artificial Intelligence,Aarch Solutions,2-7 Yrs,Not disclosed,Bengaluru,"['algorithms', 'System architecture', 'python', 'java', 'JBoss', 'Artificial Intelligence', 'Debugging', 'Machine learning']",30+ DAYS AGO
Technical / Principal Architect (Artificial Intelligence),ANTWORKS SOLUTIONS INDIA PRIVATE LIMITED,8-13 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru","['product architect', 'Technical Architecture']",18 DAYS AGO
Technical / Principal Architect (Artificial Intelligence),ANTWORKS SOLUTIONS INDIA PRIVATE LIMITED,8-13 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru","['product architect', 'Technical Architecture']",18 DAYS AGO
Computer Vision & Artificial Intelligence Lead,Geeky Bee,3-5 Yrs,Not disclosed,Ahmedabad,"['PyTorch', 'Caffe', 'YOLO', 'CNN', 'Machine Learning', 'R - CNN', 'Cloud Platforms', 'Android Linux']",30+ DAYS AGO
Application Lead Artificial Intelligence,Samatrix Consulting Private Limited,6-7 Yrs,Not disclosed,Gurgaon,"['deep learning', 'Artificial Intelligence', 'Machine learning', 'Programming', 'Deployment', 'Application Lead', 'Application development', 'Supervision']",30+ DAYS AGO
Software Engineer - Artificial Intelligence,RS Consultants,3-8 Yrs,Not disclosed,Pune,"['Artificial Intelligence', 'Linux Programming', 'Ubuntu 18.04', 'IT Skills', 'Python', 'Software Development', 'Machine Learning', 'Tensorflow']",27 DAYS AGO
Artificial Intelligence Architect,Connecting 2 Work,2-6 Yrs,Not disclosed,Alleppey/Alappuzha,"['Computer science', 'Automation', 'MS SQL', 'Machine learning', 'Healthcare', 'Customer service', 'Unit testing', 'Oracle']",30+ DAYS AGO
Assistant Professor - IGE-Artificial Intelligence,SVKMs Narsee Monjee Institute of Management Studies - NMIMS,6-11 Yrs,Not disclosed,Mumbai,"['communication', 'Computer science', 'Supervisor', 'data science', 'Artificial Intelligence', 'HR policies', 'Mentor', 'Assistant Professor']",30+ DAYS AGO
Artificial Intelligence Program Developer,IBRAIN ROBOTICS PRIVATE LIMITED,1-5 Yrs,Not disclosed,Pune,"['IT Skills', 'Artificial Intelligence']",30+ DAYS AGO
Artificial Intelligence Internship,BRINGLE EXCELLENCE,2-6 Yrs,Not disclosed,Thane,"['Computer science', 'Product quality', 'Diagnostics', 'Machine learning', 'Internship', 'MATLAB', 'Business case', 'Monitoring']",30+ DAYS AGO
Artificial Intelligence Subject Matter Expert,"SolutionInn, US",2-6 Yrs,Not disclosed,Delhi,"['Analytical skills', 'Training', 'Artificial Intelligence', 'Genetics', 'Subject Matter Expert', 'Principal', 'Recruitment']",30+ DAYS AGO
Associate-Artificial Intelligence Innovation,Accenture,1-3 Yrs,Not disclosed,Gurgaon/Gurugram,"['IT Skills', 'Artificial Intelligence', 'Cloud', 'Publishing', 'Architecture', 'Consulting', 'Client relationship', 'Research']",30+ DAYS AGO
